Current learning rate: 0.001
Epoch: [4][ 60/383]	Loss 1.1602 (1.1902)	Accuracy 52.344 (55.955)
Epoch: [4][ 70/383]	Loss 1.2269 (1.1912)	Accuracy 53.125 (55.887)
Epoch: [4][ 80/383]	Loss 1.0839 (1.1901)	Accuracy 62.500 (55.864)
Epoch: [4][ 90/383]	Loss 1.1022 (1.1840)	Accuracy 57.812 (56.104)
Epoch: [4][100/383]	Loss 1.1226 (1.1806)	Accuracy 57.031 (56.165)
Epoch: [4][110/383]	Loss 1.1522 (1.1779)	Accuracy 62.500 (56.271)
Epoch: [4][120/383]	Loss 1.2082 (1.1796)	Accuracy 48.438 (56.147)
Epoch: [4][130/383]	Loss 1.1583 (1.1738)	Accuracy 56.250 (56.423)
Epoch: [4][140/383]	Loss 1.1976 (1.1774)	Accuracy 60.156 (56.333)
Epoch: [4][150/383]	Loss 1.3401 (1.1818)	Accuracy 53.125 (56.203)
Epoch: [4][160/383]	Loss 1.1740 (1.1823)	Accuracy 56.250 (56.187)
Epoch: [4][170/383]	Loss 1.2521 (1.1826)	Accuracy 54.688 (56.273)
Epoch: [4][180/383]	Loss 1.2007 (1.1831)	Accuracy 55.469 (56.228)
Epoch: [4][190/383]	Loss 1.2138 (1.1820)	Accuracy 57.031 (56.332)
Epoch: [4][200/383]	Loss 1.0808 (1.1792)	Accuracy 63.281 (56.421)
Epoch: [4][210/383]	Loss 1.1009 (1.1773)	Accuracy 58.594 (56.605)
Epoch: [4][220/383]	Loss 1.0816 (1.1757)	Accuracy 57.031 (56.660)
Epoch: [4][230/383]	Loss 1.3153 (1.1750)	Accuracy 54.688 (56.764)
Epoch: [4][240/383]	Loss 1.2031 (1.1728)	Accuracy 52.344 (56.853)
Epoch: [4][250/383]	Loss 1.2667 (1.1714)	Accuracy 57.812 (56.922)
Epoch: [4][260/383]	Loss 1.0093 (1.1705)	Accuracy 65.625 (56.950)
Epoch: [4][270/383]	Loss 1.0366 (1.1699)	Accuracy 62.500 (56.974)
Epoch: [4][280/383]	Loss 1.0688 (1.1673)	Accuracy 63.281 (57.092)
Epoch: [4][290/383]	Loss 1.2208 (1.1658)	Accuracy 57.031 (57.133)
Epoch: [4][300/383]	Loss 1.1948 (1.1653)	Accuracy 57.812 (57.171)
Epoch: [4][310/383]	Loss 0.9294 (1.1621)	Accuracy 64.062 (57.293)
Epoch: [4][320/383]	Loss 1.0405 (1.1628)	Accuracy 62.500 (57.304)
Epoch: [4][330/383]	Loss 1.3162 (1.1621)	Accuracy 49.219 (57.305)
Epoch: [4][340/383]	Loss 1.1228 (1.1632)	Accuracy 57.031 (57.251)
Epoch: [4][350/383]	Loss 1.2915 (1.1615)	Accuracy 53.906 (57.356)
Epoch: [4][360/383]	Loss 1.0728 (1.1608)	Accuracy 62.500 (57.390)
Epoch: [4][370/383]	Loss 1.0934 (1.1597)	Accuracy 60.938 (57.417)
Epoch: [4][380/383]	Loss 1.3327 (1.1593)	Accuracy 53.125 (57.462)
Test: [  0/164]	Loss 1.4483 (1.4483)	Accuracy 31.250 (31.250)
Test: [ 10/164]	Loss 1.0628 (1.3692)	Accuracy 63.281 (43.253)
Test: [ 20/164]	Loss 1.8793 (1.4560)	Accuracy 19.531 (40.402)
Test: [ 30/164]	Loss 2.0845 (1.5857)	Accuracy 23.438 (35.509)
Test: [ 40/164]	Loss 1.0434 (1.5236)	Accuracy 64.062 (39.310)
Test: [ 50/164]	Loss 1.0140 (1.4792)	Accuracy 67.969 (42.325)
Test: [ 60/164]	Loss 1.5378 (1.4444)	Accuracy 50.000 (44.877)
Test: [ 70/164]	Loss 1.1952 (1.4357)	Accuracy 57.031 (46.325)
Test: [ 80/164]	Loss 1.5348 (1.4031)	Accuracy 33.594 (47.647)
Test: [ 90/164]	Loss 1.2787 (1.4016)	Accuracy 50.000 (47.519)
Test: [100/164]	Loss 0.0892 (1.3159)	Accuracy 97.656 (50.928)
Test: [110/164]	Loss 0.3683 (1.2325)	Accuracy 89.844 (54.371)
Test: [120/164]	Loss 0.6216 (1.1654)	Accuracy 82.031 (57.244)
Test: [130/164]	Loss 1.0268 (1.1435)	Accuracy 64.844 (58.546)
Test: [140/164]	Loss 1.0477 (1.1242)	Accuracy 67.188 (59.469)
Test: [150/164]	Loss 1.3148 (1.1279)	Accuracy 40.625 (59.292)
Test: [160/164]	Loss 1.6202 (1.1372)	Accuracy 36.719 (58.865)
 * Accuracy 58.837
Current best accuracy: 58.83669662475586
459.72001791000366
Current learning rate: 0.001
Epoch: [5][  0/383]	Loss 0.9640 (0.9640)	Accuracy 66.406 (66.406)
Epoch: [5][ 10/383]	Loss 1.0953 (1.0496)	Accuracy 60.156 (61.009)
Epoch: [5][ 20/383]	Loss 0.8670 (1.0228)	Accuracy 75.000 (62.872)
Epoch: [5][ 30/383]	Loss 0.9790 (1.0116)	Accuracy 67.969 (63.659)
Epoch: [5][ 40/383]	Loss 0.9913 (1.0167)	Accuracy 64.844 (63.434)
Epoch: [5][ 50/383]	Loss 1.2019 (1.0248)	Accuracy 60.156 (63.235)
Epoch: [5][ 60/383]	Loss 1.1046 (1.0281)	Accuracy 59.375 (63.153)
Epoch: [5][ 70/383]	Loss 1.0088 (1.0336)	Accuracy 63.281 (62.962)
Epoch: [5][ 80/383]	Loss 1.3366 (1.0361)	Accuracy 52.344 (62.722)
Epoch: [5][ 90/383]	Loss 1.0225 (1.0386)	Accuracy 68.750 (62.655)
Epoch: [5][100/383]	Loss 1.0621 (1.0389)	Accuracy 60.938 (62.485)
Epoch: [5][110/383]	Loss 1.0582 (1.0432)	Accuracy 60.156 (62.324)
Epoch: [5][120/383]	Loss 0.9605 (1.0398)	Accuracy 64.844 (62.539)
Epoch: [5][130/383]	Loss 1.1660 (1.0434)	Accuracy 51.562 (62.446)
Epoch: [5][140/383]	Loss 1.1051 (1.0443)	Accuracy 62.500 (62.472)
Epoch: [5][150/383]	Loss 1.1789 (1.0445)	Accuracy 57.812 (62.459)
Epoch: [5][160/383]	Loss 1.0090 (1.0451)	Accuracy 60.938 (62.476)
Epoch: [5][170/383]	Loss 1.1063 (1.0446)	Accuracy 61.719 (62.477)
Epoch: [5][180/383]	Loss 1.0476 (1.0462)	Accuracy 60.156 (62.401)
Epoch: [5][190/383]	Loss 0.9448 (1.0446)	Accuracy 68.750 (62.439)
Epoch: [5][200/383]	Loss 1.0468 (1.0444)	Accuracy 63.281 (62.399)
Epoch: [5][210/383]	Loss 1.0381 (1.0451)	Accuracy 64.062 (62.411)
Epoch: [5][220/383]	Loss 1.0038 (1.0441)	Accuracy 64.844 (62.443)
Epoch: [5][230/383]	Loss 1.0573 (1.0439)	Accuracy 61.719 (62.385)
Epoch: [5][240/383]	Loss 1.0744 (1.0438)	Accuracy 59.375 (62.354)
Epoch: [5][250/383]	Loss 1.0212 (1.0445)	Accuracy 62.500 (62.332)
